,FIPS,FIPS_NUM,COUNTY_NAME,STATE,UIC_NUMBER,UIC_GROUP,MEDICARE_ENROLL,POPESTIMATE,PHARMA_COUNT,ENERGY_RES,ENERGY_COM,ENERGY_IND,ENERGY_TTL,MEDICARE_RATE,RESIDENTIAL_RATE,MEDICARE_BIN,RESIDENTIAL_BIN,BIVARIATE_BIN
1388,27149,27149,Stevens County,MN,11,Nonmetro,1806,9671,1,35904.0,67537.0,71208.0,174649.0,0.187,0.206,A,1,A1
1049,21113,21113,Jessamine County,KY,2,Metro,9916,52991,10,290451.0,160754.0,218753.0,669958.0,0.187,0.434,A,2,A2
1039,21093,21093,Hardin County,KY,2,Metro,20670,110702,15,570525.0,408646.0,282633.0,1261804.0,0.187,0.452,A,3,A3
150,05079,5079,Lincoln County,AR,2,Metro,2423,12941,1,57014.0,19831.0,37280.0,114125.0,0.187,0.5,A,3,A3
1031,21077,21077,Gallatin County,KY,1,Metro,1629,8690,1,44424.0,19856.0,6135.0,70415.0,0.187,0.631,A,3,A3
296,08103,8103,Rio Blanco County,CO,10,Nonmetro,1221,6529,0,18241.0,20526.0,95737.0,134504.0,0.187,0.136,A,1,A1
2325,45019,45019,Charleston County,SC,2,Metro,76419,408235,62,2023437.0,3215127.0,1562586.0,6801150.0,0.187,0.298,A,1,A1
2934,51680,51680,Lynchburg city,VA,2,Metro,14757,79009,9,360783.0,713577.0,258171.0,1332531.0,0.187,0.271,A,1,A1
177,05133,5133,Sevier County,AR,6,Nonmetro,2965,15839,2,79085.0,41645.0,57724.0,178454.0,0.187,0.443,A,3,A3
2429,47003,47003,Bedford County,TN,3,Nonmetro,9335,50237,4,282183.0,183382.0,106059.0,571624.0,0.186,0.494,A,3,A3
2952,51830,51830,Williamsburg city,VA,1,Metro,2870,15425,2,49860.0,0.0,1805.0,51665.0,0.186,0.965,A,3,A3
1230,25027,25027,Worcester County,MA,2,Metro,160332,862111,11,2377043.0,2733678.0,981190.0,6091911.0,0.186,0.39,A,2,A2
1482,28163,28163,Yazoo County,MS,2,Metro,4975,26743,3,131446.0,90255.0,41244.0,262945.0,0.186,0.5,A,3,A3
110,04027,4027,Yuma County,AZ,2,Metro,37936,203881,14,844392.0,520661.0,295966.0,1661019.0,0.186,0.508,A,3,A3
71,02060,2060,Bristol Bay Borough,AK,12,Nonmetro,157,844,0,2393.0,17817.0,14.0,20224.0,0.186,0.118,A,1,A1
1326,27025,27025,Chisago County,MN,1,Metro,10508,56621,3,199312.0,95907.0,320893.0,616112.0,0.186,0.323,A,2,A2
2933,51678,51678,Lexington city,VA,6,Nonmetro,1362,7320,3,18407.0,52792.0,445.0,71644.0,0.186,0.257,A,1,A1
598,17007,17007,Boone County,IL,2,Metro,9938,53448,2,156559.0,87193.0,167871.0,411623.0,0.186,0.38,A,2,A2
2748,48451,48451,Tom Green County,TX,2,Metro,22374,120003,15,508021.0,690534.0,500049.0,1698604.0,0.186,0.299,A,1,A1
1777,34007,34007,Camden County,NJ,1,Metro,97221,523485,33,1551379.0,1962972.0,286433.0,3800784.0,0.186,0.408,A,2,A2
2029,38079,38079,Rolette County,ND,12,Nonmetro,2271,12187,1,88831.0,73382.0,31310.0,193523.0,0.186,0.459,A,3,A3
314,09013,9013,Tolland County,CT,1,Metro,27827,149788,12,465247.0,231427.0,48083.0,744757.0,0.186,0.625,A,3,A3
1542,29119,29119,McDonald County,MO,2,Metro,4336,23303,1,105027.0,43934.0,141946.0,290907.0,0.186,0.361,A,2,A2
274,08059,8059,Jefferson County,CO,1,Metro,108309,582910,73,1787063.0,1851115.0,2026328.0,5664506.0,0.186,0.315,A,1,A1
2580,48115,48115,Dawson County,TX,8,Nonmetro,2303,12456,0,59903.0,46667.0,52814.0,159384.0,0.185,0.376,A,2,A2
895,20015,20015,Butler County,KS,2,Metro,12458,67380,11,294836.0,164669.0,112763.0,572268.0,0.185,0.515,A,3,A3
2019,38059,38059,Morton County,ND,2,Metro,6150,33291,2,120886.0,194279.0,123942.0,439107.0,0.185,0.275,A,1,A1
767,18141,18141,St. Joseph County,IN,2,Metro,50380,272912,24,963584.0,1202602.0,1094328.0,3260514.0,0.185,0.296,A,1,A1
281,08073,8073,Lincoln County,CO,7,Nonmetro,1048,5675,2,15347.0,25273.0,37558.0,78178.0,0.185,0.196,A,1,A1
268,08047,8047,Gilpin County,CO,1,Metro,1072,5808,0,22169.0,46846.0,2030.0,71045.0,0.185,0.312,A,1,A1
