,FIPS,FIPS_NUM,COUNTY_NAME,STATE,UIC_NUMBER,UIC_GROUP,MEDICARE_ENROLL,POPESTIMATE,PHARMA_COUNT,ENERGY_RES,ENERGY_COM,ENERGY_IND,ENERGY_TTL,MEDICARE_RATE,RESIDENTIAL_RATE,MEDICARE_BIN,RESIDENTIAL_BIN,BIVARIATE_BIN
3102,55107,55107,Rusk County,WI,6,Nonmetro,4136,14188,1,54745.0,33132.0,214546.0,302423.0,0.292,0.181,C,1,C1
2441,47027,47027,Clay County,TN,10,Nonmetro,2217,7581,2,44765.0,258478.0,15715.0,318958.0,0.292,0.14,C,1,C1
3016,54047,54047,McDowell County,WV,10,Nonmetro,5589,19111,2,138006.0,32461.0,367465.0,537932.0,0.292,0.257,C,1,C1
1706,31105,31105,Kimball County,NE,7,Nonmetro,1002,3434,0,12124.0,15924.0,53113.0,81161.0,0.292,0.149,C,1,C1
2405,46089,46089,McPherson County,SD,10,Nonmetro,704,2411,0,11177.0,69289.0,25639.0,106105.0,0.292,0.105,C,1,C1
1934,37089,37089,Henderson County,NC,2,Metro,33930,116281,15,555373.0,463721.0,242088.0,1261182.0,0.292,0.44,C,2,C2
158,05095,5095,Monroe County,AR,9,Nonmetro,1979,6799,1,42157.0,32961.0,25916.0,101034.0,0.291,0.417,C,2,C2
555,16009,16009,Benewah County,ID,7,Nonmetro,2777,9530,1,43718.0,20186.0,116226.0,180130.0,0.291,0.243,C,1,C1
2830,51021,51021,Bland County,VA,7,Nonmetro,1825,6270,0,35297.0,7106.0,15998.0,58401.0,0.291,0.604,C,3,C3
1627,30059,30059,Meagher County,MT,10,Nonmetro,561,1927,0,7436.0,6060.0,7319.0,20815.0,0.291,0.357,C,2,C2
2871,51105,51105,Lee County,VA,7,Nonmetro,6443,22173,2,139734.0,57401.0,27800.0,224935.0,0.291,0.621,C,3,C3
2996,54007,54007,Braxton County,WV,7,Nonmetro,3626,12447,3,61424.0,51195.0,52107.0,164726.0,0.291,0.373,C,2,C2
188,06005,6005,Amador County,CA,4,Nonmetro,11759,40474,1,102739.0,71240.0,98114.0,272093.0,0.291,0.378,C,2,C2
1982,37185,37185,Warren County,NC,4,Nonmetro,5411,18642,1,116801.0,53558.0,21755.0,192114.0,0.29,0.608,C,3,C3
1319,27011,27011,Big Stone County,MN,12,Nonmetro,1500,5166,0,23974.0,25714.0,16911.0,66599.0,0.29,0.36,C,2,C2
1948,37117,37117,Martin County,NC,6,Nonmetro,6396,22031,3,136560.0,98145.0,30160.0,264865.0,0.29,0.516,C,3,C3
356,12075,12075,Levy County,FL,6,Nonmetro,12439,42915,7,204208.0,84211.0,18962.0,307381.0,0.29,0.664,C,3,C3
3068,55041,55041,Forest County,WI,12,Nonmetro,2658,9179,1,28126.0,39923.0,17679.0,85728.0,0.29,0.328,C,2,C2
516,13263,13263,Talbot County,GA,4,Nonmetro,1662,5733,0,41803.0,5892.0,7395.0,55090.0,0.29,0.759,C,3,C3
1684,31061,31061,Franklin County,NE,10,Nonmetro,838,2889,1,21267.0,2688.0,20584.0,44539.0,0.29,0.477,C,3,C3
1481,28161,28161,Yalobusha County,MS,9,Nonmetro,3617,12481,0,76985.0,20471.0,98219.0,195675.0,0.29,0.393,C,2,C2
2442,47029,47029,Cocke County,TN,5,Nonmetro,10438,35999,3,211510.0,138882.0,139950.0,490342.0,0.29,0.431,C,2,C2
2329,45027,45027,Clarendon County,SC,6,Nonmetro,9034,31144,3,212423.0,75240.0,106142.0,393805.0,0.29,0.539,C,3,C3
3005,54025,54025,Greenbrier County,WV,6,Nonmetro,9550,32977,6,188947.0,170260.0,61602.0,420809.0,0.29,0.449,C,3,C3
955,20135,20135,Ness County,KS,12,Nonmetro,779,2687,1,13361.0,24019.0,37061.0,74441.0,0.29,0.179,C,1,C1
3045,54105,54105,Wirt County,WV,2,Metro,1501,5194,0,25236.0,8587.0,12410.0,46233.0,0.289,0.546,C,3,C3
2304,42121,42121,Venango County,PA,3,Nonmetro,14593,50454,0,184554.0,138061.0,541997.0,864612.0,0.289,0.213,C,1,C1
1815,35037,35037,Quay County,NM,11,Nonmetro,2525,8746,0,33110.0,112294.0,51408.0,196812.0,0.289,0.168,C,1,C1
136,05051,5051,Garland County,AR,2,Metro,28963,100180,20,523473.0,546450.0,290410.0,1360333.0,0.289,0.385,C,2,C2
2151,40041,40041,Delaware County,OK,6,Nonmetro,11660,40397,3,252716.0,131803.0,84100.0,468619.0,0.289,0.539,C,3,C3
207,06043,6043,Mariposa County,CA,7,Nonmetro,4947,17131,0,47836.0,35714.0,10630.0,94180.0,0.289,0.508,C,3,C3
184,05147,5147,Woodruff County,AR,10,Nonmetro,1812,6269,1,35074.0,37840.0,26679.0,99593.0,0.289,0.352,C,2,C2
1351,27075,27075,Lake County,MN,6,Nonmetro,3154,10905,0,47407.0,36535.0,32607.0,116549.0,0.289,0.407,C,2,C2
1245,26029,26029,Charlevoix County,MI,11,Nonmetro,7530,26054,5,82685.0,58407.0,160737.0,301829.0,0.289,0.274,C,1,C1
2597,48149,48149,Fayette County,TX,4,Nonmetro,7063,24435,4,125827.0,99674.0,263411.0,488912.0,0.289,0.257,C,1,C1
240,06109,6109,Tuolumne County,CA,5,Nonmetro,16032,55620,2,147293.0,111324.0,47545.0,306162.0,0.288,0.481,C,3,C3
2955,53003,53003,Asotin County,WA,2,Metro,6427,22285,5,101767.0,62402.0,23191.0,187360.0,0.288,0.543,C,3,C3
2739,48433,48433,Stonewall County,TX,12,Nonmetro,358,1245,0,6851.0,7219.0,11737.0,25807.0,0.288,0.265,C,1,C1
1526,29087,29087,Holt County,MO,7,Nonmetro,1216,4223,0,26753.0,15765.0,8288.0,50806.0,0.288,0.527,C,3,C3
147,05073,5073,Lafayette County,AR,7,Nonmetro,1819,6308,0,40192.0,12808.0,23217.0,76217.0,0.288,0.527,C,3,C3
1028,21071,21071,Floyd County,KY,11,Nonmetro,10334,35942,8,232893.0,133367.0,543205.0,909465.0,0.288,0.256,C,1,C1
2447,47039,47039,Decatur County,TN,12,Nonmetro,3292,11435,1,62660.0,50715.0,12004.0,125379.0,0.288,0.5,C,3,C3
3085,55075,55075,Marinette County,WI,5,Nonmetro,12079,41872,5,138247.0,142780.0,205562.0,486589.0,0.288,0.284,C,1,C1
2235,41055,41055,Sherman County,OR,10,Nonmetro,537,1870,0,9430.0,7128.0,13816.0,30374.0,0.287,0.31,C,1,C1
2004,38029,38029,Emmons County,ND,7,Nonmetro,948,3301,1,17819.0,22822.0,36308.0,76949.0,0.287,0.232,C,1,C1
3117,55137,55137,Waushara County,WI,6,Nonmetro,7049,24520,1,83041.0,33737.0,41304.0,158082.0,0.287,0.525,C,3,C3
3135,56031,56031,Platte County,WY,11,Nonmetro,2472,8605,1,36103.0,53574.0,81684.0,171361.0,0.287,0.211,C,1,C1
2563,48081,48081,Coke County,TX,7,Nonmetro,944,3285,0,22464.0,16088.0,29875.0,68427.0,0.287,0.328,C,2,C2
1593,29223,29223,Wayne County,MO,10,Nonmetro,3152,10974,2,81291.0,17710.0,27941.0,126942.0,0.287,0.64,C,3,C3
2847,51057,51057,Essex County,VA,4,Nonmetro,3043,10599,1,69296.0,74415.0,13202.0,156913.0,0.287,0.442,C,3,C3
1824,35055,35055,Taos County,NM,8,Nonmetro,9905,34489,4,69533.0,74164.0,82993.0,226690.0,0.287,0.307,C,1,C1
899,20023,20023,Cheyenne County,KS,12,Nonmetro,752,2616,0,12411.0,12268.0,14731.0,39410.0,0.287,0.315,C,1,C1
1463,28125,28125,Sharkey County,MS,7,Nonmetro,1092,3800,0,27647.0,12891.0,8841.0,49379.0,0.287,0.56,C,3,C3
1905,37031,37031,Carteret County,NC,5,Nonmetro,19442,67686,9,436686.0,418471.0,14207.0,869364.0,0.287,0.502,C,3,C3
1075,21165,21165,Menifee County,KY,8,Nonmetro,1747,6113,0,31818.0,8880.0,5116.0,45814.0,0.286,0.695,C,3,C3
2897,51163,51163,Rockbridge County,VA,6,Nonmetro,6480,22650,1,121066.0,106074.0,116204.0,343344.0,0.286,0.353,C,2,C2
2176,40091,40091,McIntosh County,OK,6,Nonmetro,5409,18941,2,114296.0,54330.0,19222.0,187848.0,0.286,0.608,C,3,C3
2296,42105,42105,Potter County,PA,9,Nonmetro,4695,16396,0,61873.0,42441.0,69165.0,173479.0,0.286,0.357,C,2,C2
2694,48343,48343,Morris County,TX,6,Nonmetro,3425,11973,0,76814.0,102359.0,265652.0,444825.0,0.286,0.173,C,1,C1
3047,54109,54109,Wyoming County,WV,7,Nonmetro,6107,21382,3,160675.0,33286.0,229588.0,423549.0,0.286,0.379,C,2,C2
1087,21189,21189,Owsley County,KY,12,Nonmetro,1157,4051,2,23870.0,5677.0,11052.0,40599.0,0.286,0.588,C,3,C3
1764,33001,33001,Belknap County,NH,3,Nonmetro,18218,63705,5,179580.0,162183.0,42524.0,384287.0,0.286,0.467,C,3,C3
2839,51037,51037,Charlotte County,VA,7,Nonmetro,3294,11529,1,70287.0,45281.0,18783.0,134351.0,0.286,0.523,C,3,C3
624,17059,17059,Gallatin County,IL,7,Nonmetro,1410,4946,0,28167.0,19655.0,21017.0,68839.0,0.285,0.409,C,2,C2
1682,31057,31057,Dundy County,NE,12,Nonmetro,472,1654,0,12015.0,4101.0,18173.0,34289.0,0.285,0.35,C,2,C2
1181,23009,23009,Hancock County,ME,6,Nonmetro,15813,55478,3,144476.0,219293.0,19858.0,383627.0,0.285,0.377,C,2,C2
2169,40077,40077,Latimer County,OK,9,Nonmetro,2694,9444,2,59364.0,27223.0,34320.0,120907.0,0.285,0.491,C,3,C3
2618,48191,48191,Hall County,TX,12,Nonmetro,806,2825,1,12935.0,29882.0,27215.0,70032.0,0.285,0.185,C,1,C1
3022,54059,54059,Mingo County,WV,9,Nonmetro,6711,23568,2,194015.0,63350.0,257714.0,515079.0,0.285,0.377,C,2,C2
1511,29057,29057,Dade County,MO,7,Nonmetro,2154,7569,1,39003.0,18291.0,15205.0,72499.0,0.285,0.538,C,3,C3
985,20195,20195,Trego County,KS,10,Nonmetro,799,2808,0,13049.0,18703.0,12782.0,44534.0,0.285,0.293,C,1,C1
3036,54087,54087,Roane County,WV,7,Nonmetro,3992,14028,3,62228.0,38443.0,171906.0,272577.0,0.285,0.228,C,1,C1
297,08105,8105,Rio Grande County,CO,11,Nonmetro,3288,11539,0,42267.0,47222.0,23374.0,112863.0,0.285,0.374,C,2,C2
2986,53065,53065,Stevens County,WA,2,Metro,13255,46445,4,205237.0,124763.0,200744.0,530744.0,0.285,0.387,C,2,C2
2322,45013,45013,Beaufort County,SC,2,Metro,53148,187117,22,917331.0,729729.0,28512.0,1675572.0,0.284,0.547,C,3,C3
2226,41037,41037,Lake County,OR,12,Nonmetro,2319,8160,0,38794.0,26683.0,26486.0,91963.0,0.284,0.422,C,2,C2
2379,46037,46037,Day County,SD,10,Nonmetro,1547,5449,1,33700.0,22911.0,21182.0,77793.0,0.284,0.433,C,2,C2
2812,50013,50013,Grand Isle County,VT,2,Metro,2069,7293,0,21835.0,10944.0,3964.0,36743.0,0.284,0.594,C,3,C3
2937,51690,51690,Martinsville city,VA,5,Nonmetro,3831,13485,1,78696.0,125483.0,57019.0,261198.0,0.284,0.301,C,1,C1
2458,47061,47061,Grundy County,TN,7,Nonmetro,3841,13529,1,70535.0,30839.0,7583.0,108957.0,0.284,0.647,C,3,C3
2534,48023,48023,Baylor County,TX,6,Nonmetro,983,3465,1,23082.0,24319.0,16776.0,64177.0,0.284,0.36,C,2,C2
1999,38019,38019,Cavalier County,ND,12,Nonmetro,1052,3704,1,25531.0,64088.0,50594.0,140213.0,0.284,0.182,C,1,C1
1090,21195,21195,Pike County,KY,11,Nonmetro,16662,58669,12,436227.0,203044.0,1115270.0,1754541.0,0.284,0.249,C,1,C1
